,movie,year,movie_desc,director,cast,votes,ratings,genre,movie_time,desc_lenth,revenue_by_M
87,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love the governor's daughter from Jack's former pirate allies who are now undead.",Gore Verbinski,"Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley",1177584,8.1,"Action, Adventure, Fantasy",143,170,305.41
88,Iron Man 2,2010,With the world now aware of his identity as Iron Man Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.,Jon Favreau,"Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,Don Cheadle",850353,6.9,"Action, Sci-Fi",124,164,312.43
89,Machete,2010,After being set-up and betrayed by the man who hired him to assassinate a Texas Senator an ex-Federale launches a brutal rampage of revenge against his former boss.,Ethan Maniquis,"Robert Rodriguez,Danny Trejo,Michelle Rodriguez,Robert De Niro,Jessica Alba",202011,6.6,"Action, Crime, Thriller",105,164,26.59
90,The Expendables,2010,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,Sylvester Stallone,"Sylvester Stallone,Jason Statham,Jet Li,Dolph Lundgren",359011,6.4,"Action, Adventure, Thriller",103,99,103.07
91,Salt,2010,A CIA agent goes on the run after a defector accuses her of being a Russian spy.,Phillip Noyce,"Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor,Daniel Olbrychski",325268,6.4,"Action, Thriller",100,80,118.31
92,The Sorcerer's Apprentice,2010,A protege of the magician Merlin must train his teacher's successor - an introverted but resourceful physics prodigy - in the art of sorcery to prevent the return of Morgana le Fay.,Jon Turteltaub,"Nicolas Cage,Jay Baruchel,Alfred Molina,Teresa Palmer",167592,6.1,"Action, Adventure, Family",109,181,63.15
93,Alice in Wonderland, 2010,Nineteen-year-old Alice returns to the magical world from her childhood adventure where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.,Tim Burton,"Mia Wasikowska,Johnny Depp,Helena Bonham Carter,Anne Hathaway",431733,6.4,"Adventure, Family, Fantasy",108,193,334.19
94,Harry Potter and the Sorcerer's Stone,2001,An orphaned boy enrolls in a school of wizardry where he learns the truth about himself his family and the terrible evil that haunts the magical world.,Chris Columbus,"Daniel Radcliffe,Rupert Grint,Richard Harris,Maggie Smith",828002,7.6,"Adventure, Family, Fantasy",152,151,317.58
95,Grown Ups, 2010,After their high school basketball coach passes away five good friends and former teammates reunite for a Fourth of July holiday weekend.,Dennis Dugan,"Adam Sandler,Salma Hayek,Kevin James,Chris Rock",266617,6.0,Comedy,102,137,162.0
96,300,2006,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Zack Snyder,"Gerard Butler,Lena Headey,David Wenham,Dominic West",847692,7.6,"Action, Drama",117,92,210.61
97,The Wrestler,2008,A faded professional wrestler must retire but finds his quest for a new life outside the ring a dispiriting struggle.,Darren Aronofsky,"Mickey Rourke,Marisa Tomei,Evan Rachel Wood,Mark Margolis",315758,7.9,"Drama, Sport",109,117,26.24
98,Gandhi,1982,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,Richard Attenborough,"Ben Kingsley,John Gielgud,Rohini Hattangadi,Roshan Seth",237732,8.0,"Biography, Drama, History",191,143,52.77
99,The Terminator,1984,A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine sent from the same year which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.,James Cameron,"Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Paul Winfield",902291,8.1,"Action, Sci-Fi",107,232,38.4
